selected_0,selected_1,selected_2,selected_3,selected_4,selected_5,selected_6,selected_7
-0.17526203,-0.39862454,-0.16517717,0.34803078,0.3665063,0.24949022,0.06296494,0.06697074
-0.11653627,0.7718962,-1.0716745,0.5118374,-0.06561634,0.33241913,0.4521845,-1.3928918
-0.748348,-0.5119957,0.10935208,0.0022452627,0.9370082,0.68963486,-0.53592265,-0.31204164
0.829226,1.2052305,1.6836486,-0.48867825,1.3797065,-1.179422,-1.5069401,1.6095593
0.14115538,0.19792593,-0.3675615,-0.12240025,0.10215796,-0.4069309,-0.21257421,-0.26129016
-0.8681816,-1.1459401,0.5892421,0.42120317,1.2778506,0.53444237,-0.57242537,0.59392977
-0.1303966,0.13319032,-0.14850637,-0.4318096,-0.43561918,-0.3590898,-0.012802574,-0.06313595
-0.17035219,0.7086922,0.67901707,-0.32365662,-0.12403318,-0.1851832,-1.0864887,0.13023648
-0.018350463,0.6848164,0.75376403,-0.23874976,1.0411379,0.5454584,0.042403936,0.71421075
0.28931478,0.101254836,-0.4789643,0.2128029,0.17921007,-0.25350794,-0.18597952,-0.315169
-0.5887226,0.41698378,0.3899504,-0.7776781,1.6838236,0.7656887,-0.7317722,0.39626908
0.14150478,0.18791953,-0.35273898,0.08637567,-0.072009206,-0.14873062,-0.016289087,-0.17237175
-0.91793567,-1.0504024,1.0193985,-0.59722245,0.7458175,-8.120385e-05,-0.75703037,0.9238147
0.17127685,0.24397954,0.11438817,0.042308137,0.5716041,-0.061388843,-0.21268463,0.2834883
0.19859396,0.7339314,-0.4436656,-0.46000022,-0.17087673,-0.18583924,0.110162824,-0.22939093
-0.7049873,-0.7435165,0.21098971,-0.19666198,0.6116746,0.46134531,-0.045693833,0.21781787
-0.4251395,-0.5213463,0.013011925,-0.023792297,-0.012612519,-0.21626273,-0.61001354,-0.63791376
-0.20274067,0.6052859,-0.52687645,-0.20864023,-0.16159485,0.3468251,0.019366918,-0.45902935
-0.14606008,1.211976,-0.10258971,-0.21033913,-0.49915975,0.11796375,0.12645987,-0.7495434
0.009808014,0.41751277,-0.57825696,-0.3844725,-0.16911338,-0.24553011,0.37134996,-0.112180956
-0.16103734,0.0751603,-0.78800464,0.52845126,-0.5469594,-0.72943723,-0.27736843,-1.0762101
-0.35268614,-0.5598041,-0.033909213,0.38367927,0.53707683,0.1101996,-0.096096836,0.23087068
-0.23625982,0.14708096,0.00037490792,0.17081706,-0.11342791,0.05682489,-0.354686,-0.61981577
-0.5826225,-0.51242965,0.43046767,-0.6008556,0.22125177,0.07049149,-0.20225468,0.35516062
-0.64741933,0.1400678,-0.11785697,-0.44666442,1.2709104,0.4732305,-0.9308297,-0.43847832
0.22993751,0.18664555,-0.3615539,0.069068804,0.09037719,-0.15204974,-0.11465252,-0.10702166
0.20182694,0.8814653,-0.35052758,-0.5699597,-0.25507236,-0.3838561,0.22438234,-0.20034349
-0.8354041,-0.25317013,1.0424334,-1.2342385,1.1619267,0.34262076,-0.91551936,0.6516253
0.101171,0.48737505,0.32482886,0.06426188,0.34298846,0.19431244,0.14228837,0.29621696
-1.3096507,-1.6728604,1.1714523,0.5468276,1.2723655,-0.1518624,-2.2220314,0.69709575
-1.5084667,-1.7431344,1.2099862,-0.13919732,2.121402,0.6648386,-0.92408496,1.1632586
0.5257214,0.44727683,-0.18413925,0.054948412,0.5937364,-0.1521865,-0.4351558,0.030961353
0.39172935,0.830409,0.35637942,-0.46580905,-0.4075234,-0.43253323,-0.71782553,0.098653525
-0.71566576,-0.48917168,0.5015893,0.42569804,0.40074587,0.020423165,-0.99719006,-0.35528398
